clim_project,model,member,horizon,scenario,stats,spatial_ref,tavg,prcp
cmip6,AS-RCEC/TaiESM1,r1i1p1f1,near,ssp126,mean,0,,
cmip6,AS-RCEC/TaiESM1,r1i1p1f1,near,ssp245,mean,0,2.216711044,3.103624298
cmip6,AS-RCEC/TaiESM1,r1i1p1f1,near,ssp370,mean,0,,
cmip6,AS-RCEC/TaiESM1,r1i1p1f1,near,ssp585,mean,0,2.785005569,2.087799898
cmip6,CMCC/CMCC-CM2-SR5,r1i1p1f1,near,ssp126,mean,0,1.626041412,-0.605609332
cmip6,CMCC/CMCC-CM2-SR5,r1i1p1f1,near,ssp245,mean,0,1.826210022,2.402581286
cmip6,CMCC/CMCC-CM2-SR5,r1i1p1f1,near,ssp370,mean,0,1.957332611,-4.264085381
cmip6,CMCC/CMCC-CM2-SR5,r1i1p1f1,near,ssp585,mean,0,2.089164734,-15.25440556
cmip6,CMCC/CMCC-ESM2,r1i1p1f1,near,ssp126,mean,0,1.712459564,-15.3949502
cmip6,CMCC/CMCC-ESM2,r1i1p1f1,near,ssp245,mean,0,1.859043121,-14.60273338
cmip6,CMCC/CMCC-ESM2,r1i1p1f1,near,ssp370,mean,0,1.698919296,-6.879777623
cmip6,CMCC/CMCC-ESM2,r1i1p1f1,near,ssp585,mean,0,1.970460892,-18.56845031
cmip6,CSIRO-ARCCSS/ACCESS-CM2,r1i1p1f1,near,ssp126,mean,0,,
cmip6,CSIRO-ARCCSS/ACCESS-CM2,r1i1p1f1,near,ssp245,mean,0,2.105833054,-13.62478581
cmip6,CSIRO-ARCCSS/ACCESS-CM2,r1i1p1f1,near,ssp370,mean,0,1.954332352,-18.70513592
cmip6,CSIRO-ARCCSS/ACCESS-CM2,r1i1p1f1,near,ssp585,mean,0,,
cmip6,INM/INM-CM4-8,r1i1p1f1,near,ssp126,mean,0,0.647878647,11.65448428
cmip6,INM/INM-CM4-8,r1i1p1f1,near,ssp245,mean,0,1.112585068,2.680125305
cmip6,INM/INM-CM4-8,r1i1p1f1,near,ssp370,mean,0,1.082252502,12.31001276
cmip6,INM/INM-CM4-8,r1i1p1f1,near,ssp585,mean,0,1.292585373,6.83954055
cmip6,INM/INM-CM5-0,r1i1p1f1,near,ssp126,mean,0,1.170625687,-0.224729003
cmip6,INM/INM-CM5-0,r1i1p1f1,near,ssp245,mean,0,1.069000244,-6.596457213
cmip6,INM/INM-CM5-0,r1i1p1f1,near,ssp370,mean,0,1.484956741,-7.019476514
cmip6,INM/INM-CM5-0,r1i1p1f1,near,ssp585,mean,0,1.671457291,-8.786463382
cmip6,IPSL/IPSL-CM5A2-INCA,r1i1p1f1,near,ssp126,mean,0,1.844127655,0.953826144
cmip6,IPSL/IPSL-CM5A2-INCA,r1i1p1f1,near,ssp245,mean,0,,
cmip6,IPSL/IPSL-CM5A2-INCA,r1i1p1f1,near,ssp370,mean,0,1.742795944,-14.64339909
cmip6,IPSL/IPSL-CM5A2-INCA,r1i1p1f1,near,ssp585,mean,0,,
cmip6,IPSL/IPSL-CM6A-LR,r1i1p1f1,near,ssp126,mean,0,1.03745842,-14.73036342
cmip6,IPSL/IPSL-CM6A-LR,r1i1p1f1,near,ssp245,mean,0,1.405042648,-19.29073857
cmip6,IPSL/IPSL-CM6A-LR,r1i1p1f1,near,ssp370,mean,0,1.635877609,-19.12661196
cmip6,IPSL/IPSL-CM6A-LR,r1i1p1f1,near,ssp585,mean,0,,
cmip6,NCAR/CESM2-WACCM,r1i1p1f1,near,ssp126,mean,0,,
cmip6,NCAR/CESM2-WACCM,r1i1p1f1,near,ssp245,mean,0,1.49249649,-19.01887886
cmip6,NCAR/CESM2-WACCM,r1i1p1f1,near,ssp370,mean,0,1.563663483,-15.69214427
cmip6,NCAR/CESM2-WACCM,r1i1p1f1,near,ssp585,mean,0,,
cmip6,NCC/NorESM2-LM,r1i1p1f1,near,ssp126,mean,0,,
cmip6,NCC/NorESM2-LM,r1i1p1f1,near,ssp245,mean,0,1.487665176,-20.43206913
cmip6,NCC/NorESM2-LM,r1i1p1f1,near,ssp370,mean,0,1.556999207,-28.15650504
cmip6,NCC/NorESM2-LM,r1i1p1f1,near,ssp585,mean,0,1.778499603,-28.53576572
cmip6,NCC/NorESM2-MM,r1i1p1f1,near,ssp126,mean,0,1.038375854,-5.03739887
cmip6,NCC/NorESM2-MM,r1i1p1f1,near,ssp245,mean,0,1.303291321,-5.03739887
cmip6,NCC/NorESM2-MM,r1i1p1f1,near,ssp370,mean,0,1.388500214,-10.15621025
cmip6,NCC/NorESM2-MM,r1i1p1f1,near,ssp585,mean,0,1.575210571,-21.15707526
cmip6,NIMS-KMA/KACE-1-0-G,r1i1p1f1,near,ssp126,mean,0,1.55112648,3.032303702
cmip6,NIMS-KMA/KACE-1-0-G,r1i1p1f1,near,ssp245,mean,0,1.754209518,-9.832586654
cmip6,NIMS-KMA/KACE-1-0-G,r1i1p1f1,near,ssp370,mean,0,1.982000351,3.145484556
cmip6,NIMS-KMA/KACE-1-0-G,r1i1p1f1,near,ssp585,mean,0,2.06221199,2.452251827
cmip6,NOAA-GFDL/GFDL-ESM4,r1i1p1f1,near,ssp126,mean,0,1.201002121,7.535235184
cmip6,NOAA-GFDL/GFDL-ESM4,r1i1p1f1,near,ssp245,mean,0,1.192378998,-4.177279674
cmip6,NOAA-GFDL/GFDL-ESM4,r1i1p1f1,near,ssp370,mean,0,1.438793182,-8.927661742
cmip6,NOAA-GFDL/GFDL-ESM4,r1i1p1f1,near,ssp585,mean,0,1.525169373,-12.5021226
